R,Corr_x_p,Corr_x,Corr_x_m,Corr_z_p,Corr_z,Corr_z_m
85.0,0.012846265182861211,0.11500386005325047,0.04823745441879397,-0.000661381637533563,-0.04735936344214197,-0.011039162797800312
86.0,0.013683866271862776,0.06341088734511892,0.06506214576674071,-1.8175401776013667e-22,-3.4740466989190486e-21,-1.7316762314653997e-22
87.0,0.006503517099515962,0.06754539862522915,0.03587399930520781,-0.00016845097358195263,-0.016197114150504354,-0.0151083443374964
88.0,0.0067540461190337825,0.0321022323826759,0.03821305275485908,-1.7732099344098853e-23,-4.451122332908501e-21,-1.108272787870485e-21
89.0,0.0033017814303850247,0.03333887721357457,0.01816147842126695,-3.449069802018373e-6,-0.004125333231272454,-0.0051671213477882975
90.0,0.0030814636411035153,0.016298035837133785,0.01886109638376285,9.531003337175903e-23,-4.342558388477997e-22,-1.4199745094600806e-21
91.0,0.006025594445978244,0.015210517689455564,0.009220431234716464,-2.66431542616693e-6,-8.446708243190069e-5,-0.0013160429202374202
92.0,0.0025337573083572653,0.02974314208595213,0.0086051800230136,2.0391914184815034e-22,2.3341251179634526e-21,-1.3853409899332106e-22
93.0,0.0025825242281229265,0.01250696579584475,0.016826849508033148,-1.878337669057106e-5,-6.524859270691737e-5,-2.6946260967473362e-5
94.0,0.002776293387812089,0.012747685850392225,0.007075675819341084,7.757793440354425e-23,4.993942128814031e-21,7.446207766495428e-22
95.0,0.002592848661366918,0.013704156403440974,0.007211860494105148,-8.216821455254556e-5,-0.0004600014259980233,-2.081527568165011e-5
96.0,0.004929405737185098,0.012798648637717324,0.007752972996896776,2.6598148938111685e-23,1.8998692883775488e-21,1.5931421322969461e-21
97.0,0.0029346018960174775,0.02433220764627564,0.007240692120244422,-1.566637192475306e-5,-0.0020122843985161147,-0.00014674732586359747
98.0,0.0028932550515216476,0.014485588425883362,0.01376567395196201,9.087700887642809e-23,6.51383756007151e-22,6.060866808417123e-22
99.0,0.003135274560080692,0.014281494857746728,0.008195059411452432,-3.1289011507948455e-5,-0.0003836665549715083,-0.0006419487803077989
100.0,0.0031838207073318437,0.015476135601618441,0.008079595761153878,-8.909022023803423e-35,2.2255611663893373e-21,2.0780114771574213e-22
101.0,0.0022862093997742462,0.015715765893503278,0.008755450381866252,-2.1552979705474657e-5,-0.000766262112975487,-0.00012239536180396694
102.0,0.0025750835126956825,0.011285036128962471,0.008891018535609384,6.649537234965556e-24,-2.7040284925121254e-33,7.09987254708171e-22
103.0,0.0016402157914733363,0.012710957482177716,0.006384382796075156,-1.1202797938903134e-5,-0.0005278284923075914,-0.0002444490595779853
104.0,0.0017714434207376797,0.008096325064498172,0.007191081831150428,1.3299074469989144e-23,1.6284593900762756e-22,-1.3506857071415544e-33
105.0,0.0008127590650955844,0.008744082237361393,0.004580405225336796,-2.749540531290303e-6,-0.0002743544524479819,-0.00016838517313877023
106.0,0.0008428034842478734,0.004011887718884786,0.004946866590918834,-4.4330248233512214e-24,3.256918780158209e-22,5.195028693059833e-23
107.0,0.00017925203621318002,0.004160191000133393,0.0022696805432902076,-5.6123941151265484e-8,-6.733573979105138e-5,-8.75231683209793e-5
108.0,0.00015012871999884998,0.0008848120846049258,0.002353581463640399,-8.866049646667866e-24,-1.0856395933861848e-22,1.0390057386200566e-22
109.0,0.0001218840546945667,0.000741055490958406,0.0005005725268537954,-8.409167075795489e-8,-1.374464953108965e-6,-2.148110677688822e-5
110.0,0.00014598387558779972,0.0006016360360121319,0.0004192438440909875,2.2165124116611284e-23,-2.171279186772335e-22,-3.463352462071066e-23
111.0,7.800036121007754e-6,0.0007205959832106519,0.0003403688489713222,-1.0188326960086393e-10,-2.0593894857398604e-6,-4.3847485021243464e-7
112.0,7.794236462562425e-6,3.850202411098283e-5,0.00040766910673186807,4.470705534320013e-21,5.428197966930431e-22,-6.926704924138553e-23
113.0,6.242838350037256e-5,3.847339621928678e-5,2.1782088913147386e-5,-6.717710287435985e-12,-2.4951024554067757e-9,-6.569760067336283e-7
114.0,8.959251528443032e-6,0.000308154871266222,2.1765893004056405e-5,6.87118847616347e-23,1.0948675299239684e-19,1.7316762310247452e-22
115.0,9.004039540994174e-6,4.4224066788027605e-5,0.00017433516704524,-1.570774958562071e-9,-1.6451548423737904e-10,-7.959749522354002e-10
116.0,3.3742070771324154e-5,4.444514642309272e-5,2.5019270470171998e-5,-4.433024823334411e-24,1.6827413697411072e-21,3.492790957987357e-20
117.0,2.751794521769777e-5,0.0001665553854158542,2.5144343797590316e-5,-2.963317741979317e-9,-3.846798862835225e-8,-5.248289681515351e-11
118.0,4.632801620740205e-5,0.00013583226716130055,9.42268438575881e-5,-8.422747164376637e-23,-1.0856395933864288e-22,5.36819631619196e-22
119.0,1.8183606737861672e-5,0.000228681299593901,7.684558380789397e-5,-3.778952498715667e-10,-7.257110420518821e-8,-1.2271862963029775e-8
120.0,1.851573780961037e-5,8.975672089007424e-5,0.00012937388398570387,-2.659814894078215e-23,-2.0627152274352378e-21,-3.463352462071312e-23
121.0,1.0093592690946341e-5,9.139616439188497e-5,5.0778859556900016e-5,-4.9742878540033123e-11,-9.254584875796858e-9,-2.3151266225168464e-8
122.0,9.922910463568288e-6,4.9823326856985394e-5,5.170635635607426e-5,1.1082562058193097e-23,-6.513837560338552e-22,-6.580369677945793e-22
123.0,7.964650332862334e-6,4.8980816497818354e-5,2.8186989141788324e-5,-1.0754548284877698e-11,-1.2181939084259648e-9,-2.9523508097155704e-9
124.0,8.299359372789026e-6,3.9314581931935735e-5,2.7710348342311963e-5,5.572312202849788e-21,2.7140989834067664e-22,-2.078011477260701e-22
125.0,7.854134792582469e-5,4.096675063032333e-5,2.224178439973774e-5,-5.316316410781546e-12,-2.633769012428424e-10,-3.8862205276882966e-10
126.0,2.029942358971118e-5,0.0003876906240734872,2.3176480336353605e-5,3.1031173757168123e-23,1.3646489688644482e-19,8.658381155080796e-23
127.0,1.5929516870144137e-5,0.00010020067655650157,0.0002193316283860098,-3.6821959796611925e-12,-1.3019560703257694e-10,-8.402116551856661e-11
128.0,1.745576164163466e-5,7.863023107787455e-5,5.668741050170862e-5,3.4799244862617785e-22,7.599477153346346e-22,4.3534340447374996e-20
129.0,2.273584729869562e-5,8.616397990666832e-5,4.44841725638703e-5,-2.7499330352853506e-10,-9.017629948789759e-11,-4.153434335752611e-11
130.0,3.0472087057572203e-5,0.00011222719065625559,4.8746306584829745e-5,-1.773209929333294e-23,8.522270807989141e-21,2.424346722783414e-22
131.0,1.6992765503914278e-5,0.00015041430737003662,6.34912761551803e-5,-1.0524852708869286e-10,-6.73453521536095e-9,-2.8767586486693253e-11
132.0,1.9789434224592104e-5,8.387856889302148e-5,8.509520973551029e-5,-3.812401348197352e-22,-4.342558373545317e-22,2.718731682678394e-21
133.0,3.1997338608350206e-5,9.768330067163034e-5,4.7453360900747277e-5,-1.21013202444882e-12,-2.5775169901972247e-9,-2.1484173264780546e-9
134.0,1.6034301863408672e-5,0.0001579431535282239,5.526323328976991e-5,-5.7629322705896e-23,-9.336500503323822e-21,-1.3853409848356264e-22
